shap,b,h,t,l,fy,fc,et,eb,n,A
1.00,166.00,166.00,5.00,660.00,274.40,29.62,0.00,0.00,1735.00,27556
1.00,166.00,166.00,5.00,660.00,274.40,29.62,0.00,0.00,2029.00,27556
1.00,166.00,166.00,5.00,660.00,274.40,29.62,0.00,0.00,2107.00,27556
1.00,121.00,121.00,12.00,500.00,294.00,28.45,0.00,0.00,2421.00,14641
1.00,121.00,121.00,12.00,500.00,294.00,40.28,0.00,0.00,2587.00,14641
1.00,166.00,166.00,5.00,350.00,274.40,29.62,0.00,0.00,1784.00,27556
1.00,166.00,166.00,5.00,350.00,274.40,29.62,0.00,0.00,2038.00,27556
1.00,166.00,166.00,5.00,500.00,274.40,29.62,0.00,0.00,1999.00,27556
1.00,166.00,166.00,5.00,500.00,274.40,29.62,0.00,0.00,2043.00,27556
1.00,166.00,166.00,5.00,660.00,274.40,29.62,0.00,0.00,1975.00,27556
1.00,108.00,108.00,4.00,338.88,324.00,28.99,0.00,0.00,1117.20,11664
1.00,108.00,108.00,4.00,338.88,324.00,28.99,0.00,0.00,1058.40,11664
1.00,108.00,108.00,4.00,338.88,324.00,28.99,0.00,0.00,1073.10,11664
1.00,125.00,125.00,1.00,438.00,232.00,106.02,0.00,0.00,1275.00,15625
1.00,125.00,125.00,1.00,438.00,232.00,106.02,0.00,0.00,1239.00,15625
1.00,127.00,127.00,2.00,445.00,258.00,106.02,0.00,0.00,1491.00,16129
1.00,127.00,127.00,2.00,445.00,258.00,106.02,0.00,0.00,1339.00,16129
1.00,133.00,133.00,3.50,465.00,352.00,106.02,0.00,0.00,1995.00,17689
1.00,133.00,133.00,3.50,465.00,352.00,106.02,0.00,0.00,1991.00,17689
1.00,133.00,133.00,3.50,465.00,352.00,106.02,0.00,0.00,1962.00,17689
1.00,133.00,133.00,4.70,465.00,352.00,106.02,0.00,0.00,2273.00,17689
1.00,133.00,133.00,4.70,465.00,352.00,106.02,0.00,0.00,2158.00,17689
1.00,133.00,133.00,4.70,465.00,352.00,106.02,0.00,0.00,2253.00,17689
1.00,108.00,108.00,4.50,378.00,358.00,77.40,0.00,0.00,1535.00,11664
1.00,108.00,108.00,4.50,378.00,358.00,77.40,0.00,0.00,1578.00,11664
1.00,108.00,108.00,4.50,378.00,358.00,77.40,0.00,0.00,1518.00,11664
1.00,100.00,100.00,2.50,300.00,433.20,45.77,0.00,0.00,828.00,10000
1.00,100.00,100.00,3.00,300.00,426.30,35.17,0.00,0.00,777.00,10000
1.00,210.00,210.00,2.50,630.00,237.20,26.56,0.00,0.00,1637.00,44100
1.00,100.00,100.00,2.50,300.00,244.00,34.85,0.00,0.00,670.00,10000
1.00,100.00,100.00,2.00,300.00,236.20,34.85,0.00,0.00,537.00,10000
1.00,100.00,100.00,1.50,300.00,232.30,34.85,0.00,0.00,505.00,10000
1.00,92.00,92.00,3.00,276.00,260.70,23.37,0.00,0.00,538.00,8464
1.00,108.00,108.00,4.00,324.00,332.00,41.17,0.00,0.00,970.00,11664
1.00,100.00,100.00,2.50,300.00,433.20,48.35,0.00,0.00,828.00,10000
1.00,210.00,210.00,2.50,630.00,237.20,27.82,0.00,0.00,1637.00,44100
1.00,100.00,100.00,2.50,300.00,244.00,36.19,0.00,0.00,670.00,10000
1.00,100.00,100.00,1.50,300.00,232.30,36.19,0.00,0.00,505.00,10000
1.00,100.00,100.00,2.00,300.00,236.20,36.19,0.00,0.00,537.00,10000
1.00,106.00,106.00,3.00,278.00,298.90,43.21,0.00,0.00,848.00,11236
1.00,101.50,101.50,3.40,203.00,602.70,32.68,0.00,0.00,1080.00,10302.25
1.00,153.00,153.00,3.20,322.00,413.60,21.54,0.00,0.00,1191.00,23409
1.00,76.50,76.50,1.70,153.00,361.60,24.37,0.00,0.00,344.00,5852.25
1.00,300.00,300.00,3.00,1000.00,274.40,9.90,0.00,0.00,2636.00,90000
1.00,92.00,92.00,3.00,276.00,260.70,20.71,0.00,0.00,538.00,8464
1.00,108.00,108.00,4.50,324.00,259.70,20.22,0.00,0.00,931.00,11664
1.00,108.00,108.00,4.00,324.00,332.00,39.23,0.00,0.00,970.00,11664
1.00,108.00,108.00,4.20,324.00,259.70,20.54,0.00,0.00,916.00,11664
1.00,210.00,210.00,2.50,630.00,237.20,26.56,0.00,0.00,1637.00,44100
1.00,106.00,106.00,3.00,418.00,298.90,36.14,0.00,0.00,736.00,11236
1.00,101.60,101.60,3.03,305.00,371.00,23.20,0.00,0.00,635.00,10322.56
1.00,101.80,101.80,3.03,305.00,371.00,23.20,0.00,0.00,679.00,10363.24
1.00,101.80,101.80,3.03,305.00,371.00,23.20,0.00,0.00,632.00,10363.24
1.00,101.60,101.60,3.03,305.00,371.00,40.20,0.00,0.00,864.00,10322.56
1.00,101.70,101.70,3.03,305.00,371.00,40.20,0.00,0.00,803.00,10342.89
1.00,101.50,101.50,3.03,305.00,371.00,51.30,0.00,0.00,859.00,10302.25
1.00,101.90,101.90,3.03,305.00,371.00,51.30,0.00,0.00,926.00,10383.61
1.00,101.40,101.40,3.03,305.00,371.00,23.20,0.00,0.00,660.00,10281.96
1.00,101.90,101.90,3.03,305.00,371.00,23.20,0.00,0.00,649.00,10383.61
1.00,101.80,101.80,3.03,305.00,371.00,23.20,0.00,0.00,682.00,10363.24
1.00,101.70,101.70,3.03,305.00,371.00,40.20,0.00,0.00,800.00,10342.89
1.00,101.30,101.30,3.03,305.00,371.00,40.20,0.00,0.00,742.00,10261.69
1.00,101.90,101.90,3.03,305.00,371.00,51.30,0.00,0.00,877.00,10383.61
1.00,101.50,101.50,3.03,305.00,371.00,51.30,0.00,0.00,862.00,10302.25
1.00,100.00,100.00,3.00,300.00,303.50,46.80,0.00,0.00,708.00,10000
1.00,100.00,100.00,3.00,300.00,303.50,46.80,0.00,0.00,820.00,10000
1.00,100.00,100.00,3.00,300.00,303.50,46.80,0.00,0.00,766.00,10000
1.00,100.00,100.00,3.00,300.00,303.50,46.80,0.00,0.00,820.00,10000
1.00,100.00,100.00,3.00,300.00,303.50,46.80,0.00,0.00,780.00,10000
1.00,100.00,100.00,3.00,300.00,303.50,46.80,0.00,0.00,814.00,10000
1.00,200.00,200.00,3.00,600.00,303.50,46.80,0.00,0.00,2320.00,40000
1.00,200.00,200.00,3.00,600.00,303.50,46.80,0.00,0.00,2330.00,40000
1.00,200.00,200.00,3.00,600.00,303.50,46.80,0.00,0.00,2160.00,40000
1.00,200.00,200.00,3.00,600.00,303.50,46.80,0.00,0.00,2160.00,40000
1.00,200.00,200.00,3.00,600.00,303.50,46.80,0.00,0.00,2383.00,40000
1.00,200.00,200.00,3.00,600.00,303.50,46.80,0.00,0.00,2256.00,40000
1.00,200.00,200.00,3.00,2000.00,303.50,46.80,0.00,0.00,1830.00,40000
1.00,200.00,200.00,3.00,2001.00,303.50,46.80,0.00,0.00,1806.00,40000
1.00,200.00,200.00,3.00,2002.00,303.50,46.80,0.00,0.00,1882.00,40000
1.00,200.00,200.00,3.00,2003.00,303.50,46.80,0.00,0.00,2060.00,40000
1.00,200.00,200.00,3.00,2004.00,303.50,46.80,0.00,0.00,2115.00,40000
1.00,108.00,108.00,4.50,240.00,409.64,28.60,0.00,0.00,1244.60,11664
1.00,108.00,108.00,4.50,240.00,409.64,28.60,0.00,0.00,1234.80,11664
1.00,108.00,108.00,4.50,285.00,409.64,28.60,0.00,0.00,1254.40,11664
1.00,108.00,108.00,4.50,290.00,409.64,28.60,0.00,0.00,1225.00,11664
1.00,108.00,108.00,4.50,340.00,409.64,28.60,0.00,0.00,1161.30,11664
1.00,108.00,108.00,4.50,380.00,409.64,28.60,0.00,0.00,1166.20,11664
1.00,108.00,108.00,4.50,380.00,409.64,28.60,0.00,0.00,1210.30,11664
1.00,108.00,108.00,4.50,400.00,409.64,28.60,0.00,0.00,1871.80,11664
1.00,108.60,108.60,4.60,326.00,271.90,30.70,0.00,0.00,757.00,11793.96
1.00,114.30,114.30,3.35,343.00,287.33,32.68,0.00,0.00,737.00,13064.49
1.00,114.30,114.30,3.35,343.00,287.33,58.68,0.00,0.00,952.00,13064.49
1.00,114.30,114.30,3.35,343.00,287.33,88.78,0.00,0.00,1136.20,13064.49
1.00,114.30,114.30,3.35,343.00,287.33,105.45,0.00,0.00,1453.10,13064.49
1.00,114.30,114.30,6.00,343.00,342.95,32.68,0.00,0.00,1075.40,13064.49
1.00,114.30,114.30,6.00,343.00,342.95,58.68,0.00,0.00,1329.10,13064.49
1.00,114.30,114.30,6.00,343.00,342.95,88.78,0.00,0.00,1496.00,13064.49
1.00,114.30,114.30,6.00,343.00,342.95,105.45,0.00,0.00,1683.40,13064.49
